bloque,ts,variable,valor
B12_DERE,2026-08-30 14:10:00,activepower,1432.25
B12_DERE,2026-08-30 14:20:00,activepower,2619.25
B12_DERE,2026-08-30 14:30:00,activepower,1905.1
B12_DERE,2026-08-30 14:40:00,activepower,1939.85
B12_DERE,2026-08-30 14:50:00,activepower,1927.5
B12_DERE,2026-08-30 15:00:00,activepower,1432.0
B12_DERE,2026-08-30 15:10:00,activepower,3132.6
B12_DERE,2026-08-30 15:20:00,activepower,2425.7
B12_DERE,2026-08-30 15:30:00,activepower,2127.25
B12_DERE,2026-08-30 15:40:00,activepower,1931.6
B12_DERE,2026-08-30 15:50:00,activepower,1901.9
B12_DERE,2026-08-30 16:00:00,activepower,1425.85
B12_DERE,2026-08-30 16:10:00,activepower,1906.45
B12_DERE,2026-08-30 16:20:00,activepower,2115.3
B12_DERE,2026-08-30 16:30:00,activepower,1425.8000000000002
B12_DERE,2026-08-30 16:40:00,activepower,2608.6
B12_DERE,2026-08-30 16:50:00,activepower,1443.6
B12_DERE,2026-08-30 17:00:00,activepower,1958.5
B12_DERE,2026-08-30 17:10:00,activepower,2642.15
B12_DERE,2026-08-30 17:20:00,activepower,1945.4
B12_DERE,2026-08-30 17:30:00,activepower,2654.95
B12_DERE,2026-08-30 17:40:00,activepower,1932.8
B12_DERE,2026-08-30 17:50:00,activepower,2141.0
B12_DERE,2026-08-30 18:00:00,activepower,1955.45
B12_DERE,2026-08-30 18:10:00,activepower,3276.8500000000004
B12_DERE,2026-08-30 18:20:00,activepower,4205.2
B12_DERE,2026-08-30 18:30:00,activepower,3912.05
B12_DERE,2026-08-30 18:40:00,activepower,4122.1
B12_DERE,2026-08-30 18:50:00,activepower,3925.7
B12_DERE,2026-08-30 19:00:00,activepower,5015.450000000001
B12_DERE,2026-08-30 19:10:00,activepower,4327.7
B12_DERE,2026-08-30 19:20:00,activepower,4209.7
B12_DERE,2026-08-30 19:30:00,activepower,4416.9
B12_DERE,2026-08-30 19:40:00,activepower,3713.4
B12_DERE,2026-08-30 19:50:00,activepower,4920.9
B12_DERE,2026-08-30 20:00:00,activepower,4163.55
